pid,bc,dir,yds,succ,kne
742502,MF-1300,RT,0,0,0
742506,LM-1000,RT,0,0,0
742508,LM-1000,RG,2,0,0
742510,TT-0500,LE,14,1,0
742514,MF-1300,MD,8,1,0
742519,BP-1200,LG,1,0,0
742524,JM-2900,MD,1,1,0
742528,LM-1000,MD,8,1,0
742530,MT-1300,RG,1,0,0
742531,LM-1000,MD,27,1,0
742532,MT-1300,LG,0,0,0
742534,LM-1000,LG,3,1,0
742535,MT-1300,MD,1,1,0
742539,BP-1200,MD,1,0,0
742540,BP-1200,LG,11,1,0
742542,MF-1300,MD,4,1,0
742545,LM-1000,MD,2,0,0
742546,LM-1000,RG,-1,0,0
742552,LM-1000,RG,5,1,0
742553,LM-1000,LE,-3,0,0
742561,MT-1300,MD,2,0,0
742562,MT-1300,MD,1,0,0
742563,TT-0500,RE,9,1,0
742564,LM-1000,MD,3,1,0
742566,LM-1000,RT,0,0,0
742567,TT-0500,RE,5,0,0
742570,TT-0500,NL,-1,0,1
742571,TT-0500,NL,-1,0,1
742572,TT-0500,NL,-1,0,1
742575,ML-2500,RT,14,1,0
742583,DM-4300,LT,5,1,0
742584,DM-4300,RG,5,1,0
742585,DM-4300,LG,2,0,0
742588,DM-4300,MD,1,0,0
742589,DM-4300,RG,1,0,0
742591,MM-0912,LE,10,1,0
742594,ML-2500,LT,4,1,0
742597,CP-0750,LE,5,1,0
742601,ML-2500,MD,3,0,0
742603,ML-2500,LT,5,1,0
742605,ML-2500,MD,2,0,0
742606,ML-2500,RG,1,1,0
742612,DM-4300,LG,0,0,0
742613,DH-2450,LE,5,0,0
742616,DW-1350,LG,0,0,0
742618,DW-1350,MD,4,1,0
742620,JR-2075,RT,2,0,0
742622,JR-2075,LT,2,0,0
742626,DH-2450,LG,3,0,0
742627,DH-2450,LG,2,0,0
742629,DH-2450,LT,2,0,0
742630,MM-0912,RT,15,1,0
742635,DH-2450,LE,8,1,0
