gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk
4524,741735,KC,NE,FGXP,7,3,4,5,14,35,27,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741736,NE,KC,KOFF,0,6,4,5,14,27,35,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741737,NE,KC,PASS,1,30,4,5,14,27,35,3,2,1,10,25,2,0,1,0,0,0,1,0,0,0,0,0
4524,741738,NE,KC,PASS,2,9,4,4,47,27,35,3,2,2,17,18,1,0,1,0,0,0,0,0,0,0,0,0
4524,741739,NE,KC,PASS,3,7,4,4,38,27,35,3,2,3,17,18,1,0,1,0,0,0,0,0,0,0,0,0
4524,741740,KC,NE,PUNT,0,16,4,4,31,35,27,2,3,4,17,18,1,0,0,0,0,0,0,1,0,0,0,0
4524,741741,KC,NE,RUSH,1,10,4,4,15,35,27,2,3,1,10,21,2,1,1,0,0,1,0,0,0,0,0,0
4524,741742,KC,NE,RUSH,2,5,4,4,5,35,27,2,3,1,10,79,4,1,0,0,7,0,0,0,0,0,0,0
4524,741743,KC,NE,FGXP,2,3,4,4,0,42,27,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741744,NE,KC,KOFF,0,6,4,4,0,27,42,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741745,NE,KC,PASS,1,26,4,3,56,27,42,3,2,1,10,14,1,0,1,0,0,0,1,0,0,0,0,0
4524,741746,NE,KC,PASS,2,32,4,3,30,27,42,3,2,2,18,6,1,0,1,1,0,0,1,0,0,0,0,0
4524,741747,NE,KC,PASS,3,4,4,2,58,27,42,3,2,3,23,1,1,0,1,0,0,0,0,0,0,0,0,0
4524,741748,KC,NE,PUNT,0,10,4,2,54,42,27,2,3,4,23,1,1,0,0,0,0,0,0,0,0,0,0,0
4524,741749,KC,NE,RUSH,1,7,4,2,44,42,27,2,3,1,10,58,3,0,0,0,0,1,0,0,0,0,0,0
4524,741750,KC,NE,RUSH,2,5,4,2,37,42,27,2,2,2,8,60,4,0,0,0,0,1,0,0,0,0,0,0
4524,741751,KC,NE,NOPL,2,20,4,2,32,42,27,2,1,3,6,62,4,0,0,0,0,0,0,1,0,0,0,0
4524,741752,KC,NE,RUSH,3,25,4,2,32,42,27,2,1,3,1,67,4,1,0,0,0,1,0,0,0,0,0,0
4524,741753,KC,NE,RUSH,4,40,4,2,0,42,27,2,1,1,10,70,4,0,0,0,0,0,0,0,0,0,0,0
4524,741754,KC,NE,RUSH,5,41,4,1,20,42,27,2,1,2,12,68,4,0,0,0,0,0,0,0,0,0,0,0
4524,741755,KC,NE,RUSH,6,39,4,0,39,42,27,2,1,3,15,65,4,0,0,0,0,0,0,0,0,0,0,0
4525,741756,ARI,DET,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,741757,ARI,DET,PASS,1,38,1,14,54,0,0,3,3,1,10,23,2,0,1,0,0,1,0,0,0,0,0,0
