uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94377,4530,EW-0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,11,2017,TEN,LWR,14,3,2507029
94378,4530,SR-0750,0,0,0,0,0,0,0,0,0,1,1,19,1,0,0,0,0,0,0,55,7.9,8.4,8.9,18,4,2017,OAK,LWR,10,2,2550597
94379,4530,JS-4550,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,1,1,2017,TEN,TE,81,3,2558207
94380,4531,KC-2350,40,23,240,1,1,4,4,30,0,0,0,0,0,0,0,0,2,0,0,63,10.6,11.6,13.6,17,6,2017,WAS,QB,8,1,2532820
94381,4531,TP-2400,0,0,0,0,0,0,0,0,0,11,6,66,0,0,0,0,0,0,0,53,6.6,9.6,12.6,17,7,2017,WAS,QB,11,3,2531332
94382,4531,CT-1220,0,0,0,0,0,3,1,4,0,5,4,52,1,1,18,0,0,0,0,30,11.6,13.6,15.6,17,5,2017,WAS,RB,25,2,2540011
94383,4531,RK-0150,0,0,0,0,0,10,5,30,0,1,0,0,0,0,0,0,0,0,0,33,3,3,3,16,2,2017,WAS,RB,20,1,2556414
94384,4531,RG-1650,0,0,0,0,0,0,0,0,0,6,4,61,0,0,0,0,0,0,0,37,6.1,8.1,10.1,17,4,2017,WAS,RWR,14,2,2543759
94385,4531,CW-1425,39,26,307,1,2,4,0,6,0,0,0,0,0,0,0,0,1,21,1,68,18.88,19.88,23.88,17,2,2017,PHI,QB,11,1,2555259
94386,4531,TS-2300,0,0,0,0,0,0,0,0,0,3,1,30,0,0,0,0,0,0,0,48,3,3.5,4,13,7,2017,PHI,RWR,82,1,2495459
94387,4531,NA-0050,0,0,0,0,0,0,0,0,0,8,6,86,1,0,0,0,0,0,0,42,14.6,17.6,20.6,16,3,2017,PHI,SWR,13,1,2552600
94388,4531,JC-5680,0,0,0,0,0,0,0,0,0,7,3,14,0,3,3,0,1,0,0,49,-0.6,0.9,3.4,17,3,2017,WAS,RWR,80,1,2552415
94389,4531,VD-0100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,17,12,2017,WAS,TE,85,2,2495826
94390,4531,DS-3300,0,0,0,0,0,2,0,2,0,8,5,43,0,2,0,0,0,0,0,33,4.5,7,9.5,16,13,2017,PHI,RB,43,2,2506467
