pid,psr,trg,loc,yds,comp,succ,spk,dfb
743601,EM-0200,SS-1250,SM,6,1,1,0,
743603,EM-0200,SS-1250,SL,6,1,1,0,
743604,EM-0200,EE-0400,SM,5,1,1,0,
743605,EM-0200,SS-1250,SL,6,1,1,0,
743606,EM-0200,SV-0200,SR,8,1,1,0,
743608,EM-0200,SS-1250,SM,9,1,1,0,
743611,EM-0200,RL-0625,SL,6,1,0,0,
743615,DP-2037,DB-5300,SL,35,1,1,0,
743616,DP-2037,EE-0250,SR,-2,1,0,0,
743618,DP-2037,EE-0250,SR,1,1,0,0,
743620,EM-0200,BM-0300,DL,0,0,0,0,
743621,EM-0200,RE-0400,SR,9,1,1,0,
743624,EM-0200,EE-0400,SR,5,1,0,0,
743625,EM-0200,RL-0625,SM,9,1,1,0,
743628,EM-0200,RL-0625,SM,0,0,0,0,
743629,EM-0200,BM-0300,SL,0,0,0,0,
743632,DP-2037,JW-6000,SR,0,0,0,0,
743633,DP-2037,CB-1130,SL,7,1,1,0,
743635,DP-2037,EE-0250,SR,4,1,0,0,
743636,DP-2037,EE-0250,SL,30,1,1,0,
743638,DP-2037,TW-2270,DL,0,0,0,0,LC-0850
743639,DP-2037,DB-5300,DL,0,0,0,0,
743640,DP-2037,CB-1130,SR,0,0,0,0,
743642,EM-0200,EE-0400,SL,31,1,1,0,
743643,EM-0200,RL-0625,SM,0,0,0,0,
743647,DP-2037,JW-6000,SR,10,1,1,0,
743657,EM-0200,SV-0200,SR,4,1,1,0,
743658,EM-0200,SV-0200,SM,5,1,1,0,
743659,EM-0200,RL-0625,SM,17,1,1,0,
743660,EM-0200,SV-0200,SM,9,1,1,0,
743662,EM-0200,EE-0400,SL,0,0,0,0,
743663,EM-0200,SV-0200,SR,5,1,0,0,
743664,EM-0200,SV-0200,SR,6,1,1,0,
743665,EM-0200,PP-0350,SR,4,1,1,0,
743666,EM-0200,BM-0300,SL,10,1,1,0,
743672,DB-3800,CF-0650,SL,0,0,0,0,EK-0250
743674,DB-3800,MT-0875,SL,8,1,1,0,
743676,DB-3800,MI-0100,SL,18,1,1,0,
743677,DB-3800,TG-0900,SR,8,1,1,0,
743682,DB-3800,TL-0825,DL,0,0,0,0,
743685,SB-1100,DC-3550,SM,4,1,1,0,
743687,SB-1100,SD-0537,SL,11,1,1,0,
743688,SB-1100,AT-0350,SL,6,1,1,0,
743690,SB-1100,SD-0537,SL,10,1,1,0,
