uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106268,4547,745450,TEN,11,KOFF,4,2,52,75,6,5,3,0,0,25,5,0,1,0,0,0,25,TD
106269,4547,745458,JAC,11,KOFF,4,2,3,23,6,6,1,4,0,11,1,66,5,5,0,0,77,TD
106270,4547,745466,TEN,12,KOFF,4,2,11,20,5,3,1,0,0,16,5,0,0,0,0,0,16,ENDQ
106271,4548,745472,LAC,1,KOFF,1,1,35,25,3,1,0,0,0,6,2,0,1,0,0,0,6,PUNT
106272,4548,745476,MIA,1,PUNT,1,6,18,18,13,5,2,3,1,29,6,31,6,4,15,5,70,FG
106273,4548,745491,LAC,2,KOFF,1,3,34,25,4,1,0,1,0,-4,1,28,3,3,0,10,19,PUNT
106274,4548,745498,MIA,2,PUNT,1,2,16,12,3,1,0,0,0,6,2,-2,1,1,0,0,4,PUNT
106275,4548,745502,LAC,3,PUNT,1,2,36,54,6,2,0,1,0,-2,1,25,4,3,0,0,23,FG
106276,4548,745509,MIA,3,KOFF,2,4,43,17,8,4,1,1,0,8,4,26,4,4,0,0,34,PUNT
106277,4548,745518,LAC,4,PUNT,2,3,57,30,7,4,2,2,0,28,5,39,2,2,3,0,70,TD
106278,4548,745529,MIA,4,KOFF,2,2,0,34,3,0,0,0,0,3,2,5,1,1,0,0,8,PUNT
106279,4548,745533,LAC,5,PUNT,2,2,31,20,10,6,0,3,0,3,1,52,8,6,0,0,55,MFG
106280,4548,745543,MIA,5,MFG,2,0,30,33,6,2,0,1,0,0,0,15,6,3,0,0,15,DWNS
106281,4548,745550,MIA,6,KOFF,3,2,53,25,7,5,2,2,1,20,4,40,3,2,15,0,75,TD
106282,4548,745559,LAC,6,KOFF,3,3,49,23,8,6,1,5,0,11,1,66,7,5,0,0,77,TD
106283,4548,745569,MIA,7,KOFF,3,5,35,23,12,5,1,3,0,15,5,52,6,3,0,0,67,FG
106284,4548,745582,LAC,7,KOFF,3,4,10,21,7,3,0,3,0,3,1,44,6,4,0,10,37,PUNT
106285,4548,745591,MIA,8,PUNT,4,7,5,19,14,5,1,3,0,17,5,57,8,5,0,10,64,FG
106286,4548,745606,LAC,8,KOFF,4,3,26,6,6,2,0,1,0,-1,1,20,5,4,0,0,19,PUNT
106287,4548,745613,MIA,9,PUNT,4,1,57,49,5,1,1,0,0,14,3,1,1,1,0,0,15,FG
106288,4548,745619,LAC,9,KOFF,4,1,0,20,6,4,0,3,0,0,1,49,4,4,5,0,54,MFG
106289,4548,745626,MIA,10,MFG,4,0,5,34,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
106290,4549,745628,OAK,1,KOFF,1,2,12,16,3,0,0,0,0,5,2,7,1,1,0,7,5,PUNT
106291,4549,745632,NYJ,1,PUNT,1,1,55,40,3,0,0,0,0,2,3,0,0,0,0,0,2,PUNT
106292,4549,745636,OAK,2,PUNT,1,5,59,19,11,8,1,4,0,29,4,47,7,5,5,0,81,TD
106293,4549,745650,NYJ,2,KOFF,1,2,21,38,4,1,0,1,0,1,1,18,3,1,0,0,19,PUNT
106294,4549,745655,OAK,3,PUNT,1,4,38,15,8,4,0,3,0,4,3,88,5,5,0,7,85,TD
106295,4549,745666,NYJ,3,KOFF,2,3,47,25,7,5,0,3,1,14,3,46,4,4,15,0,75,TD
106296,4549,745675,OAK,4,KOFF,2,1,22,15,4,2,0,1,0,8,1,21,3,1,0,0,29,PUNT
